CarID,Brand,CarName,Year,Mileage_KM,Engine_CC,FuelType,Transmission,Horsepower,Price_USD
39,Hyundai,Elantra,2024,86181,3000,Diesel,Automatic,297,78519
40,Toyota,Camry,2015,63410,2200,Petrol,Manual,199,61149
41,Ford,Fusion,2024,31723,2000,Electric,Manual,214,42653
42,Mercedes-Benz,C-Class,2024,62608,1800,Hybrid,Automatic,354,71234
43,Mercedes-Benz,GLC,2016,243535,3000,Hybrid,Automatic,307,19326
44,Toyota,Camry,2020,101447,2200,Hybrid,Manual,443,30272
45,Hyundai,Elantra,2023,156460,2000,Hybrid,Automatic,301,53804
46,Kia,Rio,2015,179694,1000,Diesel,Automatic,449,88267
47,Honda,Civic,2018,143040,2500,Diesel,Automatic,235,59656
48,Audi,A6,2019,204002,2000,Hybrid,Manual,81,65620
49,Audi,A6,2018,57609,1800,Hybrid,Automatic,364,31240
50,Kia,K5,2020,103331,3000,Electric,Manual,150,68529
51,Tesla,Model Y,2016,19030,1600,Hybrid,Automatic,281,21079
52,Toyota,Corolla,2017,167554,1600,Hybrid,Manual,390,57685
53,Kia,Rio,2020,203004,2000,Petrol,Automatic,81,70309
54,Audi,A4,2024,227226,1600,Diesel,Automatic,178,79099
55,Tesla,Model 3,2017,186098,1000,Hybrid,Manual,239,46836
56,Kia,K5,2016,120829,1800,Diesel,Automatic,133,10906
57,Honda,Civic,2021,162192,1500,Petrol,Manual,337,48605
58,Nissan,Altima,2021,25609,2200,Hybrid,Automatic,217,47938
59,Honda,Accord,2025,158031,1800,Electric,Automatic,81,88174
60,Honda,CR-V,2016,211552,2200,Petrol,Manual,397,17838
61,Ford,Escape,2021,134740,2200,Diesel,Automatic,439,73203
62,Mercedes-Benz,C-Class,2022,76453,1600,Hybrid,Automatic,293,40735
63,Audi,A4,2024,41649,1800,Hybrid,Manual,355,60212
64,BMW,5 Series,2023,112383,2000,Petrol,Automatic,198,36112
65,Hyundai,Tucson,2016,190002,3000,Diesel,Manual,440,67981
66,BMW,X3,2019,185297,1200,Hybrid,Manual,408,83715
67,BMW,5 Series,2015,66022,2500,Diesel,Automatic,260,41410
68,BMW,3 Series,2022,96348,1000,Diesel,Automatic,180,79447
69,Hyundai,Elantra,2015,189149,1200,Diesel,Automatic,215,52711
70,Hyundai,Tucson,2021,222751,1000,Diesel,Manual,298,51750
71,Tesla,Model 3,2016,157121,1000,Diesel,Manual,296,80450
72,BMW,5 Series,2020,75557,2200,Petrol,Automatic,333,31417
73,Nissan,Rogue,2021,172930,3000,Hybrid,Manual,236,46942
74,Mercedes-Benz,C-Class,2024,38284,1800,Hybrid,Automatic,131,78832
75,Ford,Focus,2015,149222,3000,Diesel,Automatic,400,36544
76,Mercedes-Benz,GLC,2024,142785,1600,Petrol,Manual,172,14910
77,Hyundai,Sonata,2017,64485,1800,Hybrid,Automatic,239,65459
78,Honda,Civic,2019,210558,2500,Diesel,Automatic,271,84044
79,Toyota,Camry,2022,238985,1500,Diesel,Automatic,154,82740
80,Honda,Accord,2019,114136,2000,Diesel,Manual,167,37971
81,Tesla,Model 3,2022,216912,3000,Petrol,Automatic,254,68345
82,Tesla,Model S,2022,199095,1200,Diesel,Manual,341,60429
83,Nissan,Sentra,2017,121849,1200,Hybrid,Manual,212,86268
84,BMW,X3,2017,60177,2200,Diesel,Manual,320,78260
85,Nissan,Sentra,2016,169189,1500,Petrol,Automatic,179,24731
86,BMW,3 Series,2018,244675,1200,Hybrid,Manual,425,64870
87,Nissan,Rogue,2015,48524,1000,Electric,Automatic,282,89459
88,Kia,Sportage,2023,32644,1200,Electric,Automatic,129,38743
89,Ford,Fusion,2023,214635,2000,Diesel,Automatic,234,78961
90,Audi,Q5,2022,111122,1200,Electric,Manual,277,64710
91,Mercedes-Benz,C-Class,2020,83958,1600,Diesel,Manual,384,86147
92,Honda,CR-V,2025,120696,1000,Hybrid,Automatic,403,17589
93,Honda,Civic,2025,246770,1000,Hybrid,Automatic,424,26417
94,BMW,5 Series,2020,249382,2000,Hybrid,Automatic,237,71299
95,Hyundai,Tucson,2018,194864,2000,Petrol,Manual,226,37070
96,Kia,K5,2015,220660,3000,Diesel,Automatic,403,22417
97,Nissan,Altima,2020,118351,1500,Diesel,Automatic,424,24082
98,Audi,Q5,2020,189826,1200,Electric,Automatic,155,29318
99,Toyota,Corolla,2018,36441,1200,Electric,Automatic,386,49841
100,Hyundai,Elantra,2019,109059,1500,Electric,Automatic,97,86019
101,Nissan,Rogue,2018,86083,1600,Electric,Automatic,447,60233
102,Mercedes-Benz,E-Class,2016,7197,1800,Petrol,Automatic,254,15149
103,Audi,A6,2023,220069,2500,Electric,Manual,162,10722
104,Tesla,Model Y,2016,41311,2200,Hybrid,Manual,293,63726
105,Nissan,Altima,2023,51678,1000,Diesel,Manual,447,13308
106,Audi,A6,2018,184624,2000,Petrol,Automatic,100,33175
107,BMW,3 Series,2018,220869,2500,Hybrid,Automatic,427,33968
108,Hyundai,Elantra,2020,120673,2000,Petrol,Manual,190,66449
109,Hyundai,Sonata,2022,141709,1000,Diesel,Manual,80,80931
110,Hyundai,Elantra,2021,74054,2200,Hybrid,Automatic,369,59420
111,Toyota,Camry,2024,72251,1600,Diesel,Automatic,161,41405
112,Hyundai,Tucson,2022,164706,1200,Petrol,Manual,429,11910
113,Audi,Q5,2015,196983,2200,Diesel,Manual,449,22668
114,Kia,Sportage,2022,163899,1600,Hybrid,Automatic,82,73036
115,Toyota,RAV4,2024,43335,1500,Petrol,Automatic,118,73810
116,Hyundai,Sonata,2018,176739,1500,Petrol,Manual,324,21193
117,Tesla,Model S,2016,43133,2000,Hybrid,Automatic,187,73578
118,Ford,Focus,2022,139307,2200,Petrol,Automatic,241,26494
119,Toyota,Camry,2022,192545,1600,Petrol,Automatic,115,71666
120,Mercedes-Benz,C-Class,2016,192661,2500,Electric,Manual,244,26155
121,Toyota,Camry,2023,215970,1600,Electric,Automatic,171,37305
122,Nissan,Sentra,2022,106007,1600,Petrol,Manual,287,85494
123,Toyota,RAV4,2025,232308,2500,Petrol,Manual,219,59905
124,Audi,A6,2019,210117,1500,Hybrid,Automatic,303,17284
125,Audi,Q5,2022,113242,1200,Diesel,Automatic,281,78506
126,BMW,X3,2020,176803,1000,Diesel,Manual,284,27609
127,Audi,A6,2024,39854,2500,Electric,Automatic,405,28804
128,Kia,Rio,2015,91225,1200,Electric,Manual,342,15207
129,Tesla,Model S,2017,50808,1600,Petrol,Automatic,357,75828
130,Honda,Civic,2016,217732,2200,Diesel,Automatic,215,78752
131,Nissan,Altima,2016,211372,1200,Electric,Automatic,356,31963
132,Hyundai,Sonata,2022,229692,1800,Diesel,Manual,428,63321
133,Ford,Escape,2024,109277,2000,Electric,Automatic,396,16922
134,Toyota,RAV4,2023,98223,1000,Hybrid,Manual,314,42864
135,Nissan,Altima,2020,212058,2200,Diesel,Automatic,450,33950
136,Hyundai,Sonata,2019,83995,3000,Petrol,Automatic,405,17876
137,Audi,A4,2017,39529,3000,Petrol,Automatic,83,42565
138,Audi,A4,2016,215568,1500,Diesel,Automatic,255,21227
139,Nissan,Sentra,2021,141910,2200,Hybrid,Manual,295,10596
140,Tesla,Model Y,2018,80254,1200,Diesel,Manual,158,59973
141,Kia,K5,2022,137950,1500,Electric,Manual,340,88889
142,Tesla,Model S,2019,55698,1800,Diesel,Automatic,202,21174
143,Toyota,RAV4,2018,154624,1800,Electric,Automatic,323,31255
144,Audi,A6,2025,221022,2500,Hybrid,Manual,157,89538
145,Audi,A6,2020,39614,3000,Diesel,Manual,181,76113
146,Tesla,Model Y,2022,73100,3000,Electric,Manual,415,54748
147,Hyundai,Sonata,2021,109878,1200,Petrol,Manual,94,31945
148,Honda,Civic,2021,133037,2000,Electric,Automatic,383,68035
149,Kia,K5,2024,15301,2500,Hybrid,Manual,170,21110
150,Ford,Escape,2021,99927,1800,Petrol,Automatic,84,38399
151,BMW,5 Series,2023,124600,1600,Electric,Automatic,344,83410
152,Toyota,Camry,2018,74095,3000,Electric,Automatic,257,89646
153,Toyota,Corolla,2016,42380,2000,Hybrid,Automatic,419,75204
154,Honda,Civic,2022,5402,1500,Petrol,Manual,416,77377
155,Kia,K5,2025,111025,1200,Petrol,Automatic,372,76500
156,Mercedes-Benz,C-Class,2023,73348,2200,Petrol,Automatic,116,71330
157,Honda,Accord,2024,241037,3000,Hybrid,Automatic,343,50001
158,Audi,Q5,2020,80474,1000,Diesel,Automatic,117,72134
159,Kia,Rio,2025,83595,1000,Hybrid,Manual,348,61906
160,Ford,Focus,2024,5705,2200,Diesel,Manual,268,45258
161,Honda,CR-V,2016,248380,2000,Diesel,Automatic,363,49871
162,BMW,5 Series,2023,166124,1000,Hybrid,Manual,287,77796
163,Ford,Focus,2024,26765,3000,Electric,Automatic,360,76725
164,Mercedes-Benz,C-Class,2017,183584,3000,Electric,Manual,74,87063
165,BMW,5 Series,2021,31880,1500,Petrol,Automatic,98,77643
166,Tesla,Model 3,2019,41124,1000,Diesel,Manual,272,67188
167,Nissan,Altima,2023,10477,1000,Diesel,Manual,177,50891
168,BMW,3 Series,2024,130421,2200,Petrol,Automatic,399,35314
169,Honda,CR-V,2020,123005,1800,Diesel,Manual,116,52992
170,Tesla,Model 3,2020,131062,1600,Diesel,Automatic,92,27445
171,Audi,Q5,2022,79444,1800,Hybrid,Manual,100,20675
172,Audi,Q5,2023,185694,1800,Electric,Manual,239,31694
173,Nissan,Altima,2022,71262,2000,Diesel,Automatic,285,41674
174,BMW,5 Series,2019,106345,3000,Electric,Manual,181,23135
175,Nissan,Altima,2018,34157,1800,Hybrid,Automatic,411,48653
176,Toyota,RAV4,2017,163413,2500,Petrol,Automatic,173,70583
177,Audi,A6,2017,10310,1000,Petrol,Automatic,75,70301
178,Tesla,Model S,2020,17547,2000,Hybrid,Automatic,196,53549
179,Kia,K5,2023,160694,1600,Petrol,Manual,105,49541
180,Kia,Rio,2019,160831,2200,Electric,Automatic,370,50184
181,BMW,X3,2018,219390,1500,Petrol,Automatic,166,20357
182,Mercedes-Benz,C-Class,2016,187723,1200,Hybrid,Automatic,182,38409
183,Honda,Civic,2022,154769,1800,Hybrid,Automatic,450,53029
184,Audi,A6,2015,94676,1200,Hybrid,Automatic,283,18078
185,Kia,Sportage,2024,140216,1500,Electric,Manual,116,41538
186,Audi,A4,2021,67090,1600,Electric,Manual,132,38988
187,Nissan,Sentra,2024,209334,1000,Electric,Automatic,259,61576
188,Kia,Rio,2019,133696,1800,Petrol,Automatic,89,78657
189,Ford,Focus,2022,25686,1600,Electric,Automatic,224,84535
190,Audi,A4,2021,23915,1000,Petrol,Automatic,187,82100
191,Honda,CR-V,2018,206178,1500,Petrol,Automatic,144,69884
192,Tesla,Model 3,2017,46934,2500,Electric,Automatic,85,75122
193,Mercedes-Benz,E-Class,2021,178843,1500,Diesel,Automatic,376,78395
194,Toyota,RAV4,2020,42203,1800,Petrol,Automatic,138,33684
195,Audi,Q5,2024,81454,1600,Hybrid,Manual,79,72421
196,Mercedes-Benz,GLC,2017,121660,1600,Electric,Automatic,416,60277
197,Toyota,Corolla,2019,174772,2000,Diesel,Automatic,238,14915
198,Toyota,Camry,2022,101064,1200,Hybrid,Automatic,108,35433
199,Honda,CR-V,2016,224583,2500,Petrol,Automatic,82,44270
200,BMW,3 Series,2021,47889,3000,Diesel,Automatic,197,79117
201,Toyota,RAV4,2015,80036,1000,Hybrid,Automatic,145,55215
202,Ford,Focus,2021,80711,2500,Petrol,Manual,389,50125
203,Audi,A6,2019,215754,2200,Electric,Automatic,252,51898
204,Tesla,Model S,2018,91749,1200,Diesel,Manual,229,44585
205,Nissan,Altima,2021,21439,1600,Diesel,Manual,157,13651
206,Tesla,Model Y,2018,201441,1500,Diesel,Manual,255,58387
207,Audi,A4,2018,153203,2000,Diesel,Manual,269,77974
208,Hyundai,Elantra,2020,24986,2000,Petrol,Manual,390,65518
209,Tesla,Model 3,2022,40588,1500,Petrol,Manual,139,20883
210,Hyundai,Elantra,2024,237310,2200,Diesel,Automatic,109,48469
211,Audi,A6,2020,147544,2200,Diesel,Manual,103,47484
212,Tesla,Model 3,2021,221672,1000,Petrol,Automatic,321,58777
213,Nissan,Sentra,2022,59928,1200,Electric,Automatic,180,65289
214,Ford,Escape,2020,44214,2000,Diesel,Manual,207,23314
215,Honda,Accord,2024,31955,1200,Hybrid,Manual,219,32908
216,Honda,Accord,2025,126128,1000,Electric,Manual,158,82665
217,Ford,Focus,2022,98449,2500,Petrol,Manual,201,67408
218,Hyundai,Sonata,2015,176873,2000,Petrol,Manual,161,34071
219,Kia,Rio,2019,205728,1600,Petrol,Automatic,135,12982
220,Hyundai,Sonata,2015,81398,1600,Electric,Automatic,140,42971
221,Hyundai,Tucson,2019,157730,2200,Diesel,Manual,239,77774
222,Ford,Fusion,2019,243693,1500,Petrol,Manual,347,83670
223,Toyota,RAV4,2022,249324,3000,Hybrid,Manual,193,20258
224,Hyundai,Tucson,2019,60765,1600,Diesel,Manual,249,58236
225,BMW,X3,2020,143653,1200,Diesel,Manual,230,29353
226,Hyundai,Tucson,2015,182852,2200,Electric,Manual,441,77914
227,Audi,A6,2019,98050,1200,Hybrid,Automatic,418,33534
228,Kia,Sportage,2022,120602,1500,Hybrid,Automatic,85,80906
229,Mercedes-Benz,E-Class,2018,162557,1200,Diesel,Manual,211,25099
230,Nissan,Altima,2017,246711,1800,Diesel,Automatic,252,25838
231,Honda,CR-V,2021,101007,1200,Diesel,Automatic,205,78995
232,Ford,Fusion,2022,184853,2000,Diesel,Manual,327,60731
233,Toyota,RAV4,2023,144860,1500,Petrol,Automatic,321,79499
234,Ford,Focus,2025,245149,1200,Hybrid,Manual,320,37833
235,Tesla,Model S,2019,147048,1800,Hybrid,Automatic,198,26835
236,Audi,A4,2022,134545,2200,Hybrid,Automatic,246,86531
237,Kia,K5,2018,172644,2500,Petrol,Automatic,284,16722
238,Tesla,Model Y,2017,231998,2000,Electric,Manual,112,30312
239,BMW,X3,2015,163937,1200,Diesel,Manual,254,68705
240,Mercedes-Benz,GLC,2020,10000,2000,Diesel,Automatic,316,75191
241,Audi,A6,2024,121302,1500,Electric,Automatic,131,32279
242,Ford,Fusion,2024,45230,1600,Petrol,Manual,261,16852
243,BMW,X3,2021,119635,3000,Petrol,Automatic,369,62045
244,Audi,A6,2017,229852,1000,Petrol,Automatic,297,89589
245,Hyundai,Elantra,2018,140335,1500,Petrol,Manual,126,89429
246,Toyota,Camry,2015,226010,1200,Electric,Automatic,431,80382
247,Hyundai,Sonata,2021,60516,2000,Petrol,Automatic,347,53648
248,Mercedes-Benz,GLC,2021,83756,1200,Diesel,Manual,325,24371
249,Kia,Rio,2025,173265,1200,Electric,Manual,170,13884
250,Hyundai,Tucson,2015,84625,3000,Hybrid,Automatic,427,42305
251,Hyundai,Sonata,2023,39984,1600,Diesel,Manual,208,76587
252,BMW,5 Series,2025,6084,1600,Petrol,Automatic,243,16805
253,Mercedes-Benz,C-Class,2015,68307,2500,Electric,Manual,160,80672
254,Mercedes-Benz,GLC,2015,79266,1800,Hybrid,Manual,132,88115
255,Nissan,Rogue,2020,81802,2000,Hybrid,Manual,152,69642
256,Ford,Fusion,2025,235544,1800,Electric,Automatic,135,38238
257,Tesla,Model 3,2018,199226,1600,Electric,Manual,346,76014
258,Kia,Sportage,2020,62681,3000,Electric,Automatic,386,37108
259,Toyota,Camry,2016,164241,1500,Hybrid,Manual,182,16832
260,Toyota,Corolla,2025,27913,1600,Petrol,Manual,113,89554
261,Nissan,Sentra,2018,207042,2500,Petrol,Manual,408,43110
262,BMW,3 Series,2022,167853,2500,Diesel,Manual,394,43177
263,Audi,Q5,2022,77901,2000,Hybrid,Automatic,340,31278
264,Mercedes-Benz,C-Class,2022,49285,2500,Hybrid,Manual,202,71409
265,Kia,Rio,2025,94090,1200,Hybrid,Automatic,224,88985
266,Kia,Rio,2019,111267,2500,Hybrid,Manual,382,20333
267,Audi,Q5,2021,188098,1200,Diesel,Manual,148,31910
268,Honda,CR-V,2019,91078,1500,Petrol,Automatic,90,25786
269,Nissan,Rogue,2017,174685,1800,Petrol,Manual,278,14797
270,Tesla,Model S,2024,243630,1200,Petrol,Manual,205,85068
271,Hyundai,Sonata,2017,196600,1600,Petrol,Automatic,178,85528
272,Toyota,Corolla,2025,117338,2500,Electric,Manual,221,51126
273,Tesla,Model S,2019,240639,3000,Electric,Automatic,120,78686
274,Toyota,RAV4,2016,244013,1000,Hybrid,Manual,201,14522
275,Kia,Sportage,2016,11957,3000,Hybrid,Manual,106,39229
276,Tesla,Model S,2016,231370,2000,Hybrid,Automatic,84,37525
277,Audi,Q5,2016,68437,1200,Hybrid,Manual,444,34354
278,Tesla,Model S,2024,78758,3000,Electric,Manual,101,64438
279,BMW,3 Series,2025,78769,3000,Diesel,Manual,369,52833
280,Audi,A4,2016,192431,1000,Diesel,Automatic,363,38985
281,Audi,A4,2019,74038,2500,Petrol,Manual,333,86323
282,BMW,3 Series,2023,175968,1600,Petrol,Automatic,103,18181
283,Audi,Q5,2017,244938,1800,Electric,Manual,430,62289
284,Ford,Escape,2015,7452,1500,Diesel,Automatic,448,83446
285,BMW,X3,2021,161241,1200,Electric,Manual,126,40718
286,Tesla,Model Y,2021,164532,1800,Electric,Automatic,356,37047
287,Tesla,Model Y,2021,103485,2200,Electric,Automatic,357,83531
288,Kia,K5,2015,209520,3000,Hybrid,Manual,281,59642
289,Kia,Sportage,2016,226044,1600,Hybrid,Manual,90,27104
290,Kia,Sportage,2022,31541,3000,Electric,Automatic,110,22859
291,Honda,CR-V,2023,92168,1200,Diesel,Manual,255,57812
292,Hyundai,Elantra,2020,209750,3000,Electric,Manual,246,89022
293,Honda,Civic,2017,129951,1500,Diesel,Automatic,79,58022
294,BMW,3 Series,2025,84993,2500,Hybrid,Manual,90,24003
295,Kia,K5,2017,54059,2200,Petrol,Manual,290,85349
296,Nissan,Altima,2016,40415,1800,Hybrid,Automatic,372,83221
297,Nissan,Rogue,2017,182953,1600,Petrol,Automatic,353,73846
298,Ford,Focus,2020,237005,1200,Hybrid,Automatic,227,17277
299,Honda,CR-V,2019,167678,2200,Petrol,Automatic,298,11571
300,BMW,X3,2021,187644,3000,Electric,Automatic,71,53309
301,Mercedes-Benz,GLC,2025,59741,3000,Petrol,Automatic,399,76104
302,Mercedes-Benz,C-Class,2019,12504,1500,Diesel,Manual,205,54103
303,BMW,X3,2024,232554,2200,Electric,Manual,103,43362
304,Honda,CR-V,2017,76345,2000,Electric,Manual,97,76652
305,Ford,Fusion,2022,103319,1800,Hybrid,Automatic,323,60836
306,Hyundai,Tucson,2024,224517,1200,Petrol,Automatic,241,33018
307,Audi,A6,2025,143971,2500,Diesel,Manual,174,62440
308,Honda,CR-V,2024,74308,1000,Electric,Automatic,248,50478
309,Ford,Escape,2019,125968,1600,Electric,Manual,235,40092
310,BMW,3 Series,2025,142912,3000,Electric,Automatic,231,83379
311,Hyundai,Elantra,2023,60619,2500,Diesel,Manual,244,36067
312,Nissan,Sentra,2023,234285,1600,Hybrid,Manual,180,59498
313,Nissan,Altima,2018,218741,2200,Petrol,Automatic,181,26547
314,Kia,K5,2016,101804,1200,Hybrid,Manual,278,17986
315,Nissan,Rogue,2016,140902,1500,Electric,Manual,341,89356
316,Kia,Sportage,2016,161530,1600,Diesel,Manual,121,80577
317,BMW,X3,2015,248532,1500,Diesel,Automatic,215,49754
318,Kia,Sportage,2020,170967,1500,Electric,Manual,163,39049
319,Ford,Fusion,2017,208328,2200,Petrol,Automatic,446,16695
320,Kia,K5,2024,86822,1500,Diesel,Automatic,309,68627
321,Hyundai,Elantra,2024,120351,1800,Diesel,Manual,77,80757
322,Ford,Fusion,2020,105589,1500,Electric,Manual,404,12984
323,Nissan,Rogue,2021,202707,2200,Diesel,Automatic,286,33343
324,Toyota,Corolla,2016,135306,1600,Petrol,Manual,439,16742
325,Nissan,Sentra,2015,234611,1200,Petrol,Manual,310,35712
326,Toyota,Corolla,2021,24994,1800,Petrol,Automatic,293,84987
327,Tesla,Model 3,2017,246211,3000,Hybrid,Automatic,265,22355
328,Ford,Fusion,2017,156706,3000,Hybrid,Automatic,314,86007
329,BMW,5 Series,2025,196709,1500,Petrol,Manual,277,18178
330,Toyota,Camry,2017,137303,3000,Petrol,Manual,257,15908
331,Nissan,Sentra,2017,189280,3000,Electric,Automatic,201,72017
332,Hyundai,Elantra,2016,240606,1200,Electric,Manual,428,28187
333,Honda,CR-V,2021,175920,3000,Diesel,Manual,390,16823
334,Toyota,Camry,2020,198974,1000,Hybrid,Manual,201,48006
335,Hyundai,Sonata,2016,17024,1600,Hybrid,Automatic,422,27979
336,BMW,3 Series,2024,62907,2000,Petrol,Automatic,279,60257
337,Hyundai,Tucson,2018,124002,2000,Petrol,Manual,93,35686
338,Nissan,Sentra,2025,101116,1600,Petrol,Manual,232,29617
339,Honda,CR-V,2015,137887,3000,Hybrid,Automatic,195,47830
340,Hyundai,Sonata,2022,88849,2500,Petrol,Automatic,213,50621
341,Nissan,Altima,2021,13794,3000,Petrol,Automatic,383,23744
342,Tesla,Model 3,2024,83727,1500,Diesel,Automatic,417,56905
343,Nissan,Sentra,2025,35220,2500,Hybrid,Manual,409,42439
344,Mercedes-Benz,E-Class,2017,227295,2000,Hybrid,Automatic,364,36129
345,Toyota,Corolla,2017,77451,2200,Diesel,Manual,406,26021
346,Honda,CR-V,2020,23655,1800,Diesel,Automatic,121,33935
347,BMW,3 Series,2020,63457,1000,Diesel,Automatic,351,46695
348,Ford,Focus,2018,6243,1200,Petrol,Automatic,100,75966
349,Nissan,Sentra,2017,228939,1000,Diesel,Automatic,220,78012
350,Audi,Q5,2025,79714,3000,Electric,Automatic,216,55455
351,Kia,K5,2024,178369,2500,Hybrid,Automatic,321,12304
352,Ford,Escape,2018,174309,1800,Electric,Automatic,177,14940
353,Hyundai,Sonata,2023,123219,1200,Hybrid,Automatic,432,22204
354,Audi,A6,2021,190786,1500,Diesel,Manual,328,77769
355,Toyota,Camry,2025,9552,1000,Petrol,Automatic,261,47044
356,Nissan,Altima,2021,114221,1200,Petrol,Automatic,159,29421
357,Mercedes-Benz,C-Class,2025,68175,1000,Petrol,Manual,149,62109
358,Toyota,RAV4,2023,46055,1500,Electric,Manual,141,89515
359,Honda,Accord,2020,129767,2000,Petrol,Automatic,182,55301
360,Mercedes-Benz,C-Class,2022,74844,3000,Hybrid,Automatic,323,67067
361,BMW,5 Series,2024,110831,2000,Hybrid,Manual,344,63502
362,Audi,A4,2017,194838,1500,Hybrid,Manual,391,44803
363,Audi,Q5,2022,155815,1800,Hybrid,Manual,124,52733
364,Ford,Fusion,2015,145737,1500,Petrol,Automatic,132,51005
365,Audi,A4,2015,217337,1000,Petrol,Manual,91,62153
366,Tesla,Model S,2015,236517,1800,Hybrid,Automatic,247,49359
367,Ford,Fusion,2016,119115,2500,Electric,Automatic,195,21272
368,Honda,CR-V,2022,194067,1500,Diesel,Manual,346,85227
369,Nissan,Altima,2016,153033,1800,Diesel,Automatic,258,53121
370,Kia,Rio,2022,151952,1600,Hybrid,Manual,100,53103
371,Hyundai,Tucson,2024,227109,2000,Electric,Manual,362,69348
372,Tesla,Model S,2022,86004,1500,Hybrid,Manual,170,75299
373,Kia,K5,2025,172410,2000,Hybrid,Automatic,140,24030
374,Ford,Focus,2018,239883,1200,Petrol,Manual,310,71296
375,BMW,3 Series,2019,34134,1200,Diesel,Manual,202,88336
376,Tesla,Model 3,2022,63903,1200,Petrol,Automatic,285,13898
377,Nissan,Sentra,2024,37352,1500,Diesel,Automatic,254,69651
378,Tesla,Model S,2018,142368,1800,Hybrid,Automatic,419,46906
379,Ford,Fusion,2024,207875,2000,Petrol,Automatic,168,78208
380,Hyundai,Sonata,2021,54558,1600,Diesel,Manual,179,44094
381,Kia,Sportage,2018,191284,1800,Petrol,Manual,343,58643
382,Hyundai,Elantra,2019,187974,1600,Petrol,Manual,372,60488
383,Mercedes-Benz,C-Class,2021,141300,1500,Diesel,Automatic,199,64101
384,Toyota,Corolla,2023,70653,1200,Diesel,Automatic,89,31740
385,Honda,CR-V,2015,67445,2500,Electric,Automatic,237,85854
386,Tesla,Model 3,2022,238940,2500,Petrol,Manual,330,15549
387,Ford,Escape,2020,187759,1500,Electric,Automatic,312,48375
388,Ford,Focus,2018,85392,3000,Electric,Manual,261,79468
389,Tesla,Model S,2017,112424,1200,Petrol,Manual,297,46950
390,Toyota,Corolla,2016,157954,1600,Hybrid,Manual,226,19276
391,Ford,Focus,2023,242708,2200,Petrol,Manual,226,74052
392,Honda,CR-V,2022,109893,1800,Petrol,Manual,324,12168
393,Audi,Q5,2023,130903,1200,Diesel,Automatic,164,64793
394,Nissan,Rogue,2022,155081,1000,Petrol,Manual,190,18166
395,Hyundai,Sonata,2017,238737,1500,Hybrid,Manual,371,49422
396,Ford,Focus,2020,115753,1000,Petrol,Manual,248,18443
397,Ford,Focus,2015,12518,1600,Electric,Automatic,72,34431
398,BMW,X3,2019,17076,2500,Electric,Automatic,259,82161
